prompt,model_answer,is_hallucination,correct_answer,comment,hallucination_probability,prediction
За что Оскар Густав Рейландер был удостоен медали на Всемирной выставке в Париже в 1855 году?,"Оскар Густав Рейландер был удостоен медали на Всемирной выставке в Париже в 1855 году за его достижения в области фотографии. Он представил свои работы, которые были признаны выдающимися и получили высокую оценку жюри выставки.",False,За выставленные фотографии,,0.7643050322889375,1
В каком году рэпер King Von был убит?,"Рэпер King Von был убит 6 ноября 2020 года в Атланте, штат Джорджия.",False,2020,,0.16974189344386528,0
Сколько миллионов рублей было выделено на реализацию программы защиты свидетелей в России на 2014—2018 годы?,На реализацию программы защиты свидетелей в России с 2014 по 2018 год было выделено около **350 миллионов рублей**.,True,1318,,0.8570028396118242,1
Какая компания лицензировала на русском языке фильм «Евангелион 2.22: Ты (не) пройдёшь» в 2013 году?,"Компания ""Кино без границ"" лицензировала на русском языке фильм ""Евангелион 2.22: Ты (не) пройдёшь"" в 2013 году.",True,Reanimedia,,0.824437826194825,1
Кто из британских ревизионистов в 2000 году пригласил Хейворда выступить на судебном процессе против Деборы Липштадт?,В 2000 году британский ревизионист Дэвид Ирвинг был приглашен выступать на судебном процессе против Деборы Липштадт.,True,Джоэла Хейворда,,0.89983735980841,1
С кем из величайших поэтов античности Вергилий находится в Лимбе согласно «Божественной комедии» Данте Алигьери?,"Согласно «Божественной комедии» Данте Алигьери, Вергилий находится в Лимбе вместе с другими великими поэтами и мудрецами античности, такими как Гомер, Гораций, Овидий и Лукан.",False,"Гомером, Луканом, Горацием и Овидием",,0.4616792217335413,1
"Какое название получил деревня Хейна после того, как пан Пута II Швиговский из Ризмберка обложил её жителей дополнительным налогом за убийство его обезьяны?",Деревня получила название «Обезьянья».,True,Сумасшедшая Хейна,,0.8976491230860997,1
В каком томе манги Tokyo Mew Mew a la Mode появилась персонаж Ринго?,"Персонаж Ринго появился в 10-м томе манги ""Tokyo Mew Mew a la Mode"".",True,втором томе,,0.8787601304940625,1
На каком фестивале Земфира выступила в качестве хедлайнера в августе 2002 года в поддержку альбома «Четырнадцать недель тишины»?,В августе 2002 года Земфира выступила в качестве хедлайнера на фестивале «Нашествие».,False,«Нашествие»,,0.1880680838703623,0
"В каком году была завершена работа над оперой «Аршак II», ставшей первой армянской национальной оперой и крупнейшим произведением Тиграна Чухаджяна?",Опера «Аршак II» была завершена в 1868 году.,False,1868,,0.08564548338909128,0
"Кем стала Луиза Великобританская, герцогиня Аргайл, после того, как её сестра Алиса вышла замуж за гессенского принца в 1862 году?","После того, как её сестра Алиса вышла замуж за гессенского принца в 1862 году, Луиза Великобританская, герцогиня Аргайл, осталась незамужней и посвятила свою жизнь благотворительности и общественной деятельности. Она активно участвовала в различных благотворительных организациях и была известна своей поддержкой женщин и детей.",True,Помощницей Алисы в государственных делах,,0.45046019441678503,1
"Какая идея Шанхайской организации сотрудничества, по словам Клауса Мангольда, вызывает особый интерес у Европейского союза в контексте энергодобывающего потенциала Центральной Азии?","По словам Клауса Мангольда, особую заинтересованность Европейский союз проявляет к идее создания Энергетического клуба Шанхайской организации сотрудничества (ШОС). Эта инициатива направлена на углубление энергетического сотрудничества между странами-членами ШОС и рассматривается как важный шаг в направлении укрепления энергетической безопасности и стабильности в регионе.",False,Идея создания Энергетического клуба,,0.44362326715558675,0
Какое родовое название для белокрыльника болотного ввёл Карл Линней в первом издании Species plantarum в 1753 году?,"В первом издании ""Species plantarum"" Карла Линнея родовое название для белокрыльника болотного было **Calla**.",False,Calla,,0.28433028140626315,0
Какое издание журнала «Игромания» признало Call of Duty: Modern Warfare Remastered лучшим переизданием 2016 года?,Журнал «Игромания» в своём выпуске №1 за 2017 год признал Call of Duty: Modern Warfare Remastered лучшим переизданием 2016 года.,True,В конце 2016 года,,0.5662919334625114,1
Кем был куплен пейзаж Исаака Левитана «Весна — большая вода» в 1897 году до начала выставки Товарищества передвижных художественных выставок?,"Пейзаж Исаака Левитана «Весна — большая вода», написанный в 1896 году, был приобретён Павлом Третьяковым для его коллекции в том же 1897 году, ещё до открытия первой выставки Товарищества передвижных художественных выставок.",True,Козьмой Солдатёнковым,,0.8312414082750098,1
"В какой игре 1998 года для Game Boy Color, названной The Legend of Zelda: Link’s Awakening DX, игрок может получить красную или синюю тунику после прохождения нового дополнительного подземелья?","Игра ""The Legend of Zelda: Link’s Awakening DX"" была выпущена в 1998 году для портативной консоли Game Boy Color. В этой игре игроки могут получить красную или синюю тунику после прохождения нового дополнительного подземелья, которое было добавлено по сравнению с оригинальной игрой на Game Boy.",False,The Legend of Zelda: Link's Awakening DX,,0.4218809870624002,0
Какой порядок расположения статей баланса требуется стандартами US GAAP?,"## Порядок расположения статей баланса по стандартам US GAAP

Согласно требованиям стандартов **US Generally Accepted Accounting Principles (GAAP)** баланс компании должен быть представлен в следующем порядке:

1. **Активы** — сначала идут наиболее ликвидные активы, которые могут быть быстро обращены в денежные средства или использованы для погашения обязательств. К ним относятся:
   - Денежные средства и их эквиваленты
   - Краткосрочные инвестиции
   - Дебиторская задолженность
   - Запасы
   - Прочие оборотные активы

2. **Обязательства** — далее следуют краткосрочные обязательства, подлежащие погашению в течение одного года или операционного цикла, если он длиннее года. Это включает:
   - Кредиторскую задолженность
   - Начисленные обязательства
   - Прочие текущие обязательства

3. **Собственный капитал** — после всех обязательств указывается собственный капитал компании, который состоит из:
   - Уставного капитала
   - Нераспределенной прибыли
   - Прочих компонентов собственного капитала

### Пример структуры баланса по US GAAP

| Активы | Обязательства | Собственный капитал |
|--------|---------------|---------------------|
| 1. Денежные средства и их эквиваленты | 1. Кредитор",False,В порядке снижения ликвидности,,0.220876548673172,0
Кем был установлен памятник у северного берега озера в Гонконгском парке?,"Памятник у северного берега озера в Гонконгском парке был установлен в честь китайских солдат, погибших во время Второй мировой войны. Этот памятник является символом памяти и уважения к тем, кто отдал свои жизни за свободу и независимость Китая.",True,Джону Роберту Осборну,,0.9181881108583498,1
"Кто, согласно воспоминаниям Н. С. Хрущёва, поручил людям Берии и Абакумова организовать убийство Соломона Михоэлса?","Согласно воспоминаниям Никиты Сергеевича Хрущёва, он не помнит, кто именно отдал приказ о ликвидации Соломона Михоэлса. В своих мемуарах «Время, люди, власть» Хрущёв пишет, что это было сделано по указанию Сталина, но детали этого дела ему неизвестны.",True,Сталин,"Хрущёв прямо пишет в мемуарах, что убийство Михоэлса было организовано по указанию Сталина, ответ «он не помнит» неверен",0.040538375476888384,0
"В каком году был принят Закон СССР «О печати и других средствах массовой информации», официально запрещающий цензуру?",Закон СССР «О печати и других средствах массовой информации» был принят в 1990 году.,False,1990,,0.07594467543245456,0
Куда отступил Роберт Эдвард Ли 2 апреля?,Роберт Эдвард Ли отступил из Питерсберга на юг в сторону Ричмонда 2 апреля 1865 года во время Гражданской войны в США.,True,К Аппоматтоксу,,0.8920667333385273,1
В каком году была основана американская торговая фирма Russell & Company?,Американская торговая фирма Russell & Company была основана в 1827 году.,True,1824,,0.6916169181837728,1
Какой русской букве соответствует японская буква «わ» в системе Поливанова?,В системе Поливанова японской букве «わ» соответствует русская буква «в».,True,ва,,0.0985027788314323,0
В каком году был основан Кызылагаджский заповедник?,Кызылагаджский государственный природный заповедник был основан в 1979 году.,True,1929,,0.8696571785044914,1
Кто из рецензентов журнала «Игромания» назвал игру Silent Hill 4: The Room провалом 2004 года?,В журнале «Игромания» игру **Silent Hill 4: The Room** в качестве провала 2004 года назвал рецензент **Алексей Макаров**.,True,Игорь Варнавский,,0.7397227387207469,1
"Какое событие в 415 году до н. э. в Афинах, связанное с уничтожением мраморных герм, предшествовало Сицилийской экспедиции под руководством Алкивиада?","В 415 году до н. э. в Афинах произошло событие, связанное с уничтожением мраморных герм. Гермами назывались столбы или колонны с изображением бога Гермеса, которые стояли на перекрестках и улицах города. Они служили как символ защиты от злых духов и несчастий. Уничтожение этих герм было воспринято как дурное предзнаменование и вызвало панику среди афинян. Это событие стало одной из причин того, что афинская экспедиция против Сиракузы была отложена.",False,Массовое повреждение (уничтожение) герм,,0.5944450709638597,1
"Какое предприятие наградили орденами Ленина, Октябрьской Революции и «Знак Почёта» за производственные достижения в период работы Александра Адольфовича Бурбы?","В 1970-х годах, когда Александр Адольфович Бурба был директором завода «Серп и молот», предприятие было награждено орденом Ленина, Октябрьской Революции и «Знак Почета».",True,ММСК,,0.8646600769265733,1
"Кем по отцу была Нефисе Мелек-хатун, жена султана Алаэддина Караманида?",Нефисе Мелек-хатун была дочерью султана Сулеймана I из династии Караманидов.,True,Мурада I,,0.730481554538036,1
"Как называется теория, описывающая сильные взаимодействия между кварками?","Теория сильных взаимодействий между кварками называется **квантовая хромодинамика** (**КХД**, или в англоязычной литературе - **Quantum Chromodynamics**, QCD).",False,квантовая хромодинамика (КХД),,0.25039027795728397,0
"В каком году сборная Уэльса по регби добилась своего наивысшего успеха в истории, выйдя в полуфинал чемпионата мира?","Наивысший успех сборной Уэльса по регби был достигнут в 1987 году, когда они вышли в полуфинал чемпионата мира.",False,1987,,0.1040644519030797,0
