prompt,model_answer,is_hallucination,correct_answer,comment
За что Оскар Густав Рейландер был удостоен медали на Всемирной выставке в Париже в 1855 году?,"Оскар Густав Рейландер был удостоен медали на Всемирной выставке в Париже в 1855 году за его достижения в области фотографии. Он представил свои работы, которые были признаны выдающимися и получили высокую оценку жюри выставки.",False,За выставленные фотографии,
В каком году рэпер King Von был убит?,"Рэпер King Von был убит 6 ноября 2020 года в Атланте, штат Джорджия.",False,2020,
Сколько миллионов рублей было выделено на реализацию программы защиты свидетелей в России на 2014—2018 годы?,На реализацию программы защиты свидетелей в России с 2014 по 2018 год было выделено около **350 миллионов рублей**.,True,1318,
Какая компания лицензировала на русском языке фильм «Евангелион 2.22: Ты (не) пройдёшь» в 2013 году?,"Компания ""Кино без границ"" лицензировала на русском языке фильм ""Евангелион 2.22: Ты (не) пройдёшь"" в 2013 году.",True,Reanimedia,
Кто из британских ревизионистов в 2000 году пригласил Хейворда выступить на судебном процессе против Деборы Липштадт?,В 2000 году британский ревизионист Дэвид Ирвинг был приглашен выступать на судебном процессе против Деборы Липштадт.,True,Джоэла Хейворда,
С кем из величайших поэтов античности Вергилий находится в Лимбе согласно «Божественной комедии» Данте Алигьери?,"Согласно «Божественной комедии» Данте Алигьери, Вергилий находится в Лимбе вместе с другими великими поэтами и мудрецами античности, такими как Гомер, Гораций, Овидий и Лукан.",False,"Гомером, Луканом, Горацием и Овидием",
"Какое название получил деревня Хейна после того, как пан Пута II Швиговский из Ризмберка обложил её жителей дополнительным налогом за убийство его обезьяны?",Деревня получила название «Обезьянья».,True,Сумасшедшая Хейна,
В каком томе манги Tokyo Mew Mew a la Mode появилась персонаж Ринго?,"Персонаж Ринго появился в 10-м томе манги ""Tokyo Mew Mew a la Mode"".",True,втором томе,
На каком фестивале Земфира выступила в качестве хедлайнера в августе 2002 года в поддержку альбома «Четырнадцать недель тишины»?,В августе 2002 года Земфира выступила в качестве хедлайнера на фестивале «Нашествие».,False,«Нашествие»,
"В каком году была завершена работа над оперой «Аршак II», ставшей первой армянской национальной оперой и крупнейшим произведением Тиграна Чухаджяна?",Опера «Аршак II» была завершена в 1868 году.,False,1868,
"Кем стала Луиза Великобританская, герцогиня Аргайл, после того, как её сестра Алиса вышла замуж за гессенского принца в 1862 году?","После того, как её сестра Алиса вышла замуж за гессенского принца в 1862 году, Луиза Великобританская, герцогиня Аргайл, осталась незамужней и посвятила свою жизнь благотворительности и общественной деятельности. Она активно участвовала в различных благотворительных организациях и была известна своей поддержкой женщин и детей.",True,Помощницей Алисы в государственных делах,
"Какая идея Шанхайской организации сотрудничества, по словам Клауса Мангольда, вызывает особый интерес у Европейского союза в контексте энергодобывающего потенциала Центральной Азии?","По словам Клауса Мангольда, особую заинтересованность Европейский союз проявляет к идее создания Энергетического клуба Шанхайской организации сотрудничества (ШОС). Эта инициатива направлена на углубление энергетического сотрудничества между странами-членами ШОС и рассматривается как важный шаг в направлении укрепления энергетической безопасности и стабильности в регионе.",False,Идея создания Энергетического клуба,
Какое родовое название для белокрыльника болотного ввёл Карл Линней в первом издании Species plantarum в 1753 году?,"В первом издании ""Species plantarum"" Карла Линнея родовое название для белокрыльника болотного было **Calla**.",False,Calla,
Какое издание журнала «Игромания» признало Call of Duty: Modern Warfare Remastered лучшим переизданием 2016 года?,Журнал «Игромания» в своём выпуске №1 за 2017 год признал Call of Duty: Modern Warfare Remastered лучшим переизданием 2016 года.,True,В конце 2016 года,
Кем был куплен пейзаж Исаака Левитана «Весна — большая вода» в 1897 году до начала выставки Товарищества передвижных художественных выставок?,"Пейзаж Исаака Левитана «Весна — большая вода», написанный в 1896 году, был приобретён Павлом Третьяковым для его коллекции в том же 1897 году, ещё до открытия первой выставки Товарищества передвижных художественных выставок.",True,Козьмой Солдатёнковым,
"В какой игре 1998 года для Game Boy Color, названной The Legend of Zelda: Link’s Awakening DX, игрок может получить красную или синюю тунику после прохождения нового дополнительного подземелья?","Игра ""The Legend of Zelda: Link’s Awakening DX"" была выпущена в 1998 году для портативной консоли Game Boy Color. В этой игре игроки могут получить красную или синюю тунику после прохождения нового дополнительного подземелья, которое было добавлено по сравнению с оригинальной игрой на Game Boy.",False,The Legend of Zelda: Link's Awakening DX,
